t, tp, r, y, u, dtp, dt
   0.000,    0.000,    3.030,    0.000,    0.000, 1844.000,    5.000
   0.000, 3152.000,    3.030,    0.000,    0.000, 3152.000,    0.083
   0.014, 7128.000,    0.000,    0.000,    0.000, 3976.000,   13.967
   0.016, 11104.000,    0.000,    0.000,    0.000, 3976.000,    1.906
   0.017, 15080.000,    0.000,    0.000,    0.000, 3976.000,    1.406
   0.019, 19068.000,    0.000,    0.000,    0.000, 3988.000,    2.118
   0.031, 24056.000,    0.000,    0.000,    0.000, 4988.000,   11.143
   0.032, 29056.000,    0.000,    0.000,    0.000, 5000.000,    1.246
   0.033, 34056.000,    0.000,   -0.130,    0.000, 5000.000,    1.150
