t, tp, r, y, u, dtp, dt
   0.000,    0.000,    0.000,    0.000,    3.030, 1848.000,    5.000
   0.005, 3148.000,  128.000,    0.000,    3.030, 3148.000,    5.003
   0.015, 8148.000,  128.000,    0.000,    0.000, 5000.000,    9.720
   0.020, 13148.000,  128.000,    0.000,    0.000, 5000.000,    5.005
   0.025, 17140.000,  128.000,    0.000,    0.000, 3992.000,    5.006
   0.030, 21100.000,  128.000,    0.000,    0.000, 3960.000,    5.007
   0.035, 25076.000,  128.000,    0.000,    0.000, 3976.000,    5.001
   0.040, 29052.000,  128.000,    0.000,    0.000, 3976.000,    5.006
   0.045, 34052.000,  128.000,    0.000,    0.000, 5000.000,    5.001
   0.050, 39052.000,  128.000,    0.000,    0.000, 5000.000,    5.005
   0.055, 44052.000,  128.000,    0.000,    0.000, 5000.000,    5.004
   0.060, 49052.000,  128.000,    0.000,    0.000, 5000.000,    5.001
   0.065, 53028.000,  128.000,    0.000,    0.000, 3976.000,    5.005
   0.070, 57004.000,  128.000,    0.000,    0.100, 3976.000,    5.001
   0.075, 60984.000,  128.000,    0.000,    0.000, 3980.000,    5.006
   0.080, 64956.000,  128.000,    0.000,    0.000, 3972.000,    5.005
   0.085, 68932.000,  128.000,    0.000,    0.000, 3976.000,    5.000
   0.090, 73932.000,  128.000,    0.070,    0.000, 5000.000,    5.003
   0.095, 78932.000,  128.000,    0.070,    0.000, 5000.000,    5.002
   0.100, 83932.000,  128.000,    0.130,    0.000, 5000.000,    5.000
   0.105, 88932.000,  128.000,    0.260,    0.000, 5000.000,    5.000
   0.110, 92908.000,  128.000,    0.400,    0.000, 3976.000,    5.005
   0.115, 96884.000,  128.000,    0.530,    0.000, 3976.000,    5.007
   0.120, 100868.000,  128.000,    0.660,    0.000, 3984.000,    5.002
   0.125, 104836.000,  128.000,    0.920,    0.000, 3968.000,    5.001
   0.130, 108812.000,  128.000,    1.120,    0.000, 3976.000,    5.004
   0.135, 113816.000,  128.000,    1.450,    0.000, 5004.000,    5.001
   0.140, 118816.000,  128.000,    1.710,    0.000, 5000.000,    5.005
   0.145, 123812.000,  128.000,    2.110,    0.000, 4996.000,    5.002
   0.150, 127788.000,  128.000,    2.500,    0.000, 3976.000,    5.004
   0.155, 131764.000,  128.000,    2.970,    0.000, 3976.000,    5.002
   0.160, 135744.000,  128.000,    3.490,    0.000, 3980.000,    5.003
   0.165, 139716.000,  128.000,    4.090,    0.000, 3972.000,    5.005
   0.170, 143692.000,  128.000,    4.610,    0.000, 3976.000,    5.002
   0.175, 148692.000,  128.000,    5.270,    0.000, 5000.000,    5.002
   0.180, 153692.000,  128.000,    5.870,    0.000, 5000.000,    5.006
   0.185, 158704.000,  128.000,    6.660,    0.000, 5012.000,    5.007
   0.190, 163692.000,  128.000,    7.510,    0.000, 4988.000,    5.005
   0.195, 167668.000,  128.000,    8.240,    0.000, 3976.000,    5.005
   0.200, 171644.000,  128.000,    9.100,    0.000, 3976.000,    5.005
   0.205, 175620.000,  128.000,   10.020,    0.000, 3976.000,    5.000
   0.210, 179596.000,  128.000,   11.070,    0.000, 3976.000,    5.001
   0.215, 183572.000,  128.000,   11.930,    0.000, 3976.000,    5.003
   0.220, 188584.000,  128.000,   12.990,    0.000, 5012.000,    5.001
   0.225, 193572.000,  128.000,   14.240,    0.000, 4988.000,    5.005
   0.230, 198572.000,  128.000,   15.160,    0.000, 5000.000,    5.007
   0.235, 202548.000,  128.000,   16.410,    0.000, 3976.000,    5.004
   0.240, 206524.000,  128.000,   17.530,    0.000, 3976.000,    5.004
   0.245, 210500.000,  128.000,   18.790,    0.000, 3976.000,    5.005
   0.250, 214476.000,  128.000,   19.910,    0.000, 3976.000,    5.001
   0.255, 218452.000,  128.000,   21.360,    0.000, 3976.000,    5.004
   0.260, 222432.000,  128.000,   22.480,    0.000, 3980.000,    5.002
   0.265, 227432.000,  128.000,   23.860,    0.000, 5000.000,    5.006
   0.270, 232428.000,  128.000,   25.110,    0.000, 4996.000,    5.001
   0.275, 237428.000,  128.000,   26.500,    0.000, 5000.000,    5.002
   0.280, 241404.000,  128.000,   28.020,    0.000, 3976.000,    5.002
   0.285, 245380.000,  128.000,   29.140,    0.000, 3976.000,    5.005
   0.290, 249356.000,  128.000,   30.650,    0.000, 3976.000,    5.003
   0.295, 253332.000,  128.000,   31.900,    0.000, 3976.000,    5.000
   0.300, 257308.000,  128.000,   33.290,    0.000, 3976.000,    5.000
   0.305, 262308.000,  128.000,   34.670,    0.000, 5000.000,    5.000
   0.310, 267308.000,  128.000,   35.860,    0.000, 5000.000,    5.003
   0.315, 272308.000,  128.000,   37.180,    0.000, 5000.000,    5.002
   0.320, 277308.000,  128.000,   38.230,    0.000, 5000.000,    5.007
   0.325, 281284.000,  128.000,   39.550,    0.000, 3976.000,    5.002
   0.330, 285260.000,  128.000,   40.740,    0.000, 3976.000,    5.002
   0.335, 289236.000,  128.000,   41.730,    0.000, 3976.000,    5.001
   0.340, 293216.000,  128.000,   42.850,    0.000, 3980.000,    5.006
   0.345, 298220.000,  128.000,   43.770,    0.000, 5004.000,    5.001
   0.350, 303224.000,  128.000,   44.690,    0.000, 5004.000,    5.000
   0.355, 308212.000,  128.000,   45.620,    0.000, 4988.000,    5.005
   0.360, 313212.000,  128.000,   46.410,    0.000, 5000.000,    5.006
   0.365, 317188.000,  128.000,   47.070,    0.000, 3976.000,    5.004
   0.370, 321164.000,  128.000,   47.790,    0.000, 3976.000,    5.004
   0.375, 325140.000,  128.000,   48.380,    0.000, 3976.000,    5.005
   0.380, 329116.000,  128.000,   49.040,    0.000, 3976.000,    5.006
   0.385, 333092.000,  128.000,   49.440,    0.000, 3976.000,    5.000
   0.390, 338092.000,  128.000,   49.900,    0.000, 5000.000,    5.000
   0.395, 343092.000,  128.000,   50.230,    0.000, 5000.000,    5.001
   0.400, 348092.000,  128.000,   50.430,    0.000, 5000.000,    5.006
   0.405, 353092.000,  128.000,   50.690,    0.000, 5000.000,    5.002
   0.410, 357068.000,  128.000,   50.760,    0.000, 3976.000,    5.002
   0.415, 361044.000,  128.000,   50.890,    0.000, 3976.000,    5.007
   0.420, 365028.000,  128.000,   50.760,    0.000, 3984.000,    5.005
